날짜,KOR1,KOR2,ENG1,ENG2,ANY1,ANY2,OBS1,OBS2,OBS3,MED1,MED2,MED3
0617_DRX_T1_1,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT
0617_DRX_T1_2,TOP,TOP,TOP,BOT,TOP,SUP,TOP,TOP,TOP,TOP,BOT,BOT
0617_DRX_T1_3,SUP,MID,SUP,SUP,SUP,SUP,SUP,MID,MID,TOP,MID,SUP
0617_SB_AF_1,TOP,TOP,TOP,BOT,BOT,BOT,BOT,BOT,BOT,TOP,TOP,BOT
0617_SB_AF_2,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,MID
0618_HLE_SP_1,MID,MID,MID,MID,MID,BOT,BOT,MID,BOT,MID,MID,MID
0618_HLE_SP_2,BOT,BOT,JG,BOT,MID,BOT,TOP,BOT,TOP,BOT,BOT,BOT
0618_HLE_SP_3,MID,MID,MID,MID,MID,MID,MID,MID,MID,TOP,MID,MID
0618_KT_DYN_1,MID,BOT,MID,MID,MID,BOT,MID,MID,BOT,TOP,MID,BOT
0618_KT_DYN_2,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP
0619_DWG_SB_1,SUP,SUP,SUP,MID,MID,SUP,MID,SUP,SUP,MID,MID,SUP
0619_DWG_SB_2,MID,MID,SUP,SUP,MID,SUP,JG,JG,TOP,SUP,SUP,SUP
0619_GEN_DRX_1,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0619_GEN_DRX_2,MID,MID,MID,MID,MID,MID,MID,MID,MID,TOP,TOP,BOT
0619_GEN_DRX_3,MID,MID,SUP,TOP,MID,MID,MID,SUP,SUP,JG,SUP,SUP
0620_DYN_AF_1,BOT,SUP,SUP,SUP,JG,BOT,BOT,BOT,BOT,MID,BOT,BOT
0620_DYN_AF_2,BOT,BOT,TOP,BOT,BOT,BOT,BOT,BOT,BOT,TOP,TOP,BOT
0620_DYN_AF_3,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,TOP,BOT,BOT
0620_T1_HLE_1,MID,MID,MID,MID,MID,MID,MID,MID,MID,TOP,TOP,MID
0620_T1_HLE_2,TOP,TOP,TOP,TOP,TOP,TOP,SUP,SUP,TOP,BOT,BOT,BOT
0620_T1_HLE_3,SUP,SUP,BOT,BOT,BOT,SUP,SUP,SUP,SUP,BOT,BOT,BOT
0621_KT_GEN_1,MID,MID,BOT,MID,MID,MID,BOT,BOT,BOT,MID,MID,BOT
0621_KT_GEN_2,MID,TOP,SUP,TOP,TOP,SUP,MID,TOP,SUP,BOT,SUP,SUP
0621_KT_GEN_3,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0621_SP_DWG_1,TOP,MID,BOT,JG,MID,MID,JG,MID,MID,JG,MID,MID
0621_SP_DWG_2,SUP,SUP,MID,MID,MID,SUP,SUP,SUP,SUP,SUP,SUP,SUP
0624_DYN_SP_1,MID,MID,TOP,JG,TOP,TOP,TOP,TOP,TOP,TOP,MID,MID
0624_DYN_SP_2,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,MID
0624_DYN_SP_3,TOP,MID,MID,TOP,MID,TOP,TOP,TOP,TOP,TOP,TOP,MID
0624_HLE_KT_1,SUP,SUP,BOT,BOT,SUP,SUP,SUP,BOT,SUP,BOT,BOT,SUP
0624_HLE_KT_2,TOP,TOP,JG,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP
0625_DRX_SB_1,BOT,BOT,MID,BOT,BOT,BOT,BOT,BOT,SUP,JG,BOT,SUP
0625_DRX_SB_2,TOP,SUP,TOP,BOT,BOT,BOT,BOT,BOT,BOT,MID,MID,BOT
0625_DRX_SB_3,TOP,TOP,TOP,MID,TOP,SUP,SUP,TOP,TOP,TOP,MID,SUP
0625_GEN_DWG_1,SUP,SUP,JG,BOT,TOP,TOP,BOT,TOP,SUP,TOP,JG,MID
0625_GEN_DWG_2,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,JG,JG
0625_GEN_DWG_3,BOT,BOT,MID,BOT,TOP,BOT,BOT,BOT,BOT,TOP,TOP,BOT
0626_AF_T1_1,MID,MID,SUP,BOT,MID,MID,SUP,SUP,SUP,MID,SUP,SUP
0626_AF_T1_2,SUP,SUP,SUP,MID,SUP,SUP,BOT,SUP,SUP,MID,MID,SUP
0626_AF_T1_3,MID,MID,MID,SUP,SUP,MID,BOT,BOT,MID,TOP,TOP,JG
0626_HLE_DYN_1,MID,MID,MID,MID,MID,SUP,SUP,SUP,SUP,TOP,MID,BOT
0626_HLE_DYN_2,TOP,SUP,JG,TOP,TOP,TOP,TOP,TOP,SUP,TOP,MID,MID
0627_DWG_KT_1,JG,JG,JG,JG,JG,JG,JG,JG,JG,JG,JG,MID
0627_DWG_KT_2,SUP,MID,MID,MID,SUP,SUP,SUP,SUP,MID,SUP,SUP,SUP
0627_SP_GEN_1,MID,MID,MID,MID,MID,BOT,MID,MID,MID,MID,MID,MID
0627_SP_GEN_2,MID,MID,MID,JG,JG,JG,BOT,BOT,BOT,MID,MID,MID
0628_AF_DRX_1,MID,BOT,MID,BOT,SUP,SUP,SUP,SUP,SUP,BOT,BOT,BOT
0628_AF_DRX_2,TOP,SUP,BOT,TOP,BOT,BOT,BOT,SUP,TOP,TOP,BOT,BOT
0628_SB_T1_1,TOP,TOP,TOP,TOP,TOP,BOT,BOT,BOT,BOT,TOP,TOP,BOT
0628_SB_T1_2,BOT,SUP,MID,MID,MID,BOT,TOP,TOP,TOP,TOP,BOT,SUP
0701_GEN_SB_1,MID,MID,MID,MID,BOT,MID,BOT,BOT,MID,JG,MID,BOT
0701_GEN_SB_2,MID,MID,JG,MID,JG,MID,JG,JG,JG,BOT,BOT,BOT
0701_T1_DWG_1,MID,BOT,BOT,BOT,MID,BOT,SUP,SUP,SUP,BOT,BOT,BOT
0701_T1_DWG_2,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0702_DRX_DYN_1,JG,MID,SUP,MID,SUP,TOP,TOP,TOP,JG,TOP,MID,SUP
0702_DRX_DYN_2,SUP,,SUP,SUP,JG,BOT,SUP,SUP,SUP,BOT,SUP,SUP
0702_HLE_AF_1,TOP,,SUP,MID,TOP,TOP,SUP,SUP,SUP,TOP,TOP,MID
0702_HLE_AF_2,TOP,,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP
0703_GEN_T1_1,TOP,JG,SUP,BOT,TOP,BOT,TOP,TOP,TOP,TOP,TOP,JG
0703_GEN_T1_2,MID,MID,JG,JG,JG,MID,JG,JG,JG,MID,MID,MID
0703_KT_SP_1,JG,JG,JG,BOT,JG,JG,JG,SUP,SUP,JG,BOT,SUP
0703_KT_SP_2,MID,MID,JG,JG,JG,JG,JG,JG,JG,JG,JG,SUP
0704_DWG_HLE_1,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,SUP,SUP
0704_DWG_HLE_2,SUP,BOT,SUP,MID,SUP,TOP,SUP,SUP,SUP,SUP,SUP,SUP
0704_DYN_SB_1,JG,JG,MID,JG,JG,JG,JG,JG,JG,JG,JG,JG
0704_DYN_SB_2,SUP,SUP,SUP,SUP,MID,SUP,MID,MID,SUP,TOP,SUP,SUP
0704_DYN_SB_3,TOP,TOP,TOP,MID,BOT,MID,MID,MID,SUP,MID,BOT,SUP
0705_KT_AF_1,MID,MID,TOP,TOP,TOP,,MID,MID,MID,TOP,TOP,MID
0705_KT_AF_2,MID,MID,MID,BOT,MID,,MID,MID,MID,MID,MID,MID
0705_SP_DRX_1,JG,JG,JG,MID,JG,MID,JG,MID,MID,MID,MID,MID
0705_SP_DRX_2,TOP,TOP,MID,MID,BOT ,TOP,BOT,MID,MID,TOP,TOP,MID
0708_DRX_KT_1,TOP,SUP,JG,TOP,BOT,TOP,TOP,TOP,TOP,SUP,SUP,SUP
0708_DRX_KT_2,SUP,SUP,MID,TOP,JG,JG,SUP,MID,SUP,JG,JG,MID
0708_DRX_KT_3,MID,MID,MID,SUP,MID,TOP,MID,MID,MID,TOP,BOT,SUP
0708_SB_HLE_1,MID,BOT,BOT,BOT,BOT,BOT,BOT,BOT,BOT,MID,BOT,BOT
0708_SB_HLE_2,JG,JG,SUP,JG,JG,JG,JG,JG,JG,JG,MID,JG
0709_DWG_AF_1,TOP,JG,JG,JG,TOP,JG,MID,JG,JG,JG,JG,JG
0709_DWG_AF_2,JG,JG,JG,JG,JG,JG,JG,JG,JG,JG,JG,JG
0709_T1_SP_1,TOP,TOP,TOP,TOP,TOP,TOP,SUP,SUP,TOP,TOP,TOP,SUP
0709_T1_SP_2,JG,JG,MID,JG,JG,MID,JG,JG,JG,TOP,BOT,BOT
0710_DYN_GEN_1,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0710_DYN_GEN_2,BOT,BOT,BOT,BOT,BOT,BOT,MID,MID,BOT,BOT,BOT,BOT
0710_SB_KT_1,BOT,TOP,TOP,TOP,BOT,MID,MID,TOP,TOP,TOP,MID,BOT
0710_SB_KT_2,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0711_AF_SP_1,JG,MID,JG,TOP,MID,MID,MID,MID,MID,MID,MID,MID
0711_AF_SP_2,MID,BOT,SUP,BOT,SUP,BOT,SUP,SUP,SUP,TOP,MID,BOT
0711_DRX_DWG_1,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
0711_DRX_DWG_2,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,BOT,BOT
0711_DRX_DWG_3,MID,MID,MID,BOT,JG,JG,SUP,MID,MID,MID,MID,SUP
0712_GEN_HLE_1,JG,MID,MID,MID,JG,MID,MID,MID,MID,MID,MID,BOT
0712_GEN_HLE_2,BOT,TOP,TOP,TOP,TOP,MID,MID,MID,MID,TOP,MID,MID
0712_T1_DYN_1,MID,MID,SUP,MID,MID,MID,MID,MID,MID,MID,MID,MID
0712_T1_DYN_2,TOP,TOP,TOP,TOP,JG,TOP,TOP,TOP,TOP,TOP,TOP,TOP
0712_T1_DYN_3,MID,MID,SUP,BOT,BOT,BOT,SUP,BOT,SUP,MID,MID,SUP
0715_AF_GEN_1,BOT,BOT,SUP,BOT,TOP,BOT,TOP,SUP,SUP,TOP,BOT,SUP
